№,ID,Адрес,Метро,Часы работы,Широта (WGS84),Долгота (WGS84),Широта,Долгота
1,670028,"ул. Серафимовича, 2","Кропоткинская, Боровицкая, Полянка",пн-вс 9:00 - 22:05,55.7431286,37.6141037,55.7431286,37.6141037
2,831306,"пер. Печатников, 3","Цветной бульвар, Трубная, Сретенский бульвар",пн-вс 8:00 - 22:05,55.7675552,37.6250541,55.7675552,37.6250541
4,3728169,"ул. Садовническая, 29","Новокузнецкая, Третьяковская",пн-вс 9:00 - 22:05,55.7461669,37.636396,55.7461669,37.636396
8,3739007,"ул. Новый Арбат, 17","Арбатская (Голубая ветка), Смоленская",пн-вс 9:00 - 23:00,55.7520134,37.5911019,55.7520134,37.5911019
9,4206962,"наб. Котельническая, 1/15","Китай-город, Таганская",пн-вс 9:00 - 22:05,55.7478469,37.6430372,55.7478469,37.6430372
10,3802098,"пер. Серебрянический, 8","Китай-город, Таганская",пн-вс 9:00 - 22:05,55.7501864,37.6470037,55.7501864,37.6470037
11,3817326,"ул. Садовая-Самотечная, 9","Цветной бульвар, Сухаревская, Трубная",пн-вс 9:00 - 22:05,55.7739253,37.6165679,55.7739253,37.6165679
13,4171478,"ул. Большая Якиманка, 19","Полянка, Октябрьская, Третьяковская",пн-вс 9:00 - 22:05,55.7374036,37.6154471,55.7374036,37.6154471
14,2381514,"пер. Подсосенский, 3","Курская, Чкаловская (МСК)",пн-вс 9:00 - 22:05,55.7589155,37.6509901,55.7589155,37.6509901
15,3765170,"ул. Композиторская, 17","Смоленская, Арбатская (Голубая ветка)",пн-вс 9:00 - 22:05,55.7510572,37.5857332,55.7510572,37.5857332
19,3804095,"ул. Краснопролетарская, 7","Новослободская, Достоевская, Маяковская (МСК)",пн-вс 9:00 - 22:05,55.7747542,37.6066979,55.7747542,37.6066979
20,1137201,"пер. Лялин, 22","Курская, Чкаловская (МСК)",пн-вс 9:00 - 22:05,55.7575967,37.6525935,55.7575967,37.6525935
22,4261179,"ул. Новый Арбат, 25","Смоленская, Баррикадная",пн-вс 9:00 - 22:05,55.7519035,37.5809371,55.7519035,37.5809371
23,2133183,"ул. Фадеева, 5","Маяковская (МСК), Новослободская, Менделеевская, Пушкинская, Тверская, Чеховская, Цветной бульвар, Трубная, Баррикадная, Достоевская",пн-вс 9:00 - 22:05,55.7747479,37.5981672,55.7747479,37.5981672
24,3743486,"пер. 1-й Самотёчный, 16","Достоевская, Цветной бульвар, Новослободская",пн-вс 9:00 - 22:05,55.7776339,37.6127936,55.7776339,37.6127936
25,378885,"наб. Котельническая, 33/1","Таганская, Маркситская",пн-вс 9:00 - 22:05,55.7464029,37.6413119,55.7464029,37.6413119
26,628315,"ул. Садовая-Черногрязская, 11/2","Красные ворота, Курская",пн-вс 9:00 - 22:05,55.7660686,37.6540366,55.7660686,37.6540366
29,2035182,"ул. Александра Невского, 1","Белорусская, Маяковская (МСК), Менделеевская, Новослободская, Достоевская, Пушкинская, Чеховская, Тверская, Баррикадная",пн-вс 9:00 - 22:05,55.7750364,37.5926012,55.7750364,37.5926012
30,3796316,"ул. Нижняя Радищевская, 5","Таганская, Маркситская",пн-вс 9:00 - 22:05,55.7420528,37.6531934,55.7420528,37.6531934
31,1009759,"пер. Астраханский, 1/15","Проспект Мира, Сухаревская",пн-вс 9:00 - 22:05,55.7777503,37.6400672,55.7777503,37.6400672
32,1494085,"ул. Народная, 4","Таганская, Маркситская",пн-вс 9:00 - 22:05,55.7393889,37.6516389,55.7393889,37.6516389
34,2165702,"пер. 1-й Неопалимовский, 15/7","Киевская, Смоленская, Парк Культуры, Кропоткинская",пн-вс 9:00 - 22:05,55.7407603,37.5794467,55.7407603,37.5794467
35,1227102,"ул. Новорязанская, 2/7","Комсомольская, Красные ворота",пн-вс 8:00 - 22:05,55.7715365,37.6550532,55.7715365,37.6550532
36,3784525,"ул. Большая Спасская, 35","Комсомольская, Красные ворота",пн-вс 9:00 - 22:05,55.7769174,37.6467801,55.7769174,37.6467801
37,4272920,"ул. Грузинский Вал, 28/45","Белорусская, Маяковская (МСК)",пн-вс 9:00 - 22:05,55.7750456,37.5830733,55.7750456,37.5830733
39,4239997,"ул. Кожевническая, 1","Павелецкая, Серпуховская",пн-вс 9:00 - 22:05,55.7309423,37.6415072,55.7309423,37.6415072
41,2141109,"Фрунзенская набережная, 14","Парк Культуры, Фрунзенская (МСК), Спортивная, Кропоткинская, Октябрьская",пн-вс 8:00 - 22:05,55.7309515,37.5932368,55.7309515,37.5932368
43,3733411,"ул. Марксистская, 5","Маркситская, Пролетарская (МСК), Крестьянская Застава",пн-вс 9:00 - 22:05,55.7371899,37.6638626,55.7371899,37.6638626
44,4290414,"ул. Большая Дорогомиловская, 1",Киевская,пн-вс 9:00 - 22:05,55.7457598,37.5619848,55.7457598,37.5619848
45,323623,"ул. Сергия Радонежского, 2","Площадь Ильича, Римская, Маркситская",пн-вс 9:00 - 22:05,55.746087,37.6707684,55.746087,37.6707684
48,3415820,ул. Гиляровского. 56,"Рижская, Проспект Мира",пн-вс 9:00 - 22:05,55.786761,37.6331286,55.786761,37.6331286
58,3766575,"ул. Ходынская, 8","Улица 1905 года, Беговая, Белорусская",пн-вс 9:00 - 22:05,55.770618,37.5614815,55.770618,37.5614815
59,2337516,"ул. Волочаевская, 18","Площадь Ильича, Римская, Курская",пн-вс 9:00 - 22:05,55.7547369,37.6800133,55.7547369,37.6800133
60,3084106,"ул. Краснопрудная, 22-24","Красносельская, Комсомольская",пн-вс 9:00 - 22:05,55.7787475,37.6651052,55.7787475,37.6651052
61,165714,"ул. Бутырский Вал, 52","Савёловская, Белорусская",пн-вс 9:00 - 22:05,55.7869065,37.5881742,55.7869065,37.5881742
63,3816649,"ул. Краснопрудная, 22-24","Красносельская, Комсомольская",пн-вс 9:00 - 22:05,55.7787475,37.6651052,55.7787475,37.6651052
64,1362637,"ул. Бауманская, 58А","Бауманская, Курская, Красносельская",пн-вс 9:00 - 22:05,55.7680684,37.6785313,55.7680684,37.6785313
